loan_id,customer_id,ln_amnt,interest_rate,loan_type,ln_trm_mnths,apprvl_dte,ln_sts
1,1984,120k,21.24,Business,24,"Sunday, May 21, 2023",Active
2,12795,1201162,17.19,Education,48,1/7/2022,Active
3,4736,725367,14.15,Business,12,8/5/2025,Active
4,17090,385033,14.7,Personal,24,1/25/2023,Active
5,17942,1474296,14.37,Business,60,6/24/2023,Closed
6,12764,1241175,9.15,Mortgage,24,9/5/2023,Active
7,8592,1539297,19.91,Mortgage,24,12/28/2023,Active
8,5229,73592,11.72,Auto,12,6/10/2025,Active
9,6476,1950072,eight point three six,Education,24,4/15/2024,Active
10,8457,660260,5.85,Personal,48,4/13/2023,Active
11,12204,835475,18.77,Education,60,12/11/2024,Active
12,15452,1857193,6.11,Personal,6,7/27/2022,Active
13,7669,1415080,9.13,Personal,24,2/24/2022,Active
14,1129,1888170,15.02,Auto,60,4/9/2022,Active
15,6491,288019,13.32,Business,60,10/9/2022,Active
16,7516,1408883,10.58,Business,sixty,10/13/2024,Closed
17,9767,1992861,9.77,Auto,6,1/31/2023,Active
18,1459,926632,5.56,Mortgage,48,5/20/2023,
19,11047,702984,6.81,Personal,36,3/8/2023,Active
20,13501,606933,7.73,Education,12,12/13/2023,Active
21,15125,1597747,15.84,Personal,48,2/22/2023,Active
22,8437,1406391,20.6,Auto,24,12/19/2024,Active
23,17545,1754460,17.61,Auto,60,3/18/2024,Closed
24,5495,1967235,12.08,Personal,48,3/6/2023,Active
25,12566,767146,16.55,Education,48,5/14/2024,Closed
26,14933,489444,8.68,Mortgage,60,2/23/2022,Active
27,2175,137640,5.91,Education,12,4/11/2024,Active
28,15292,71809,15.67,Education,48,3/13/2025,Closed
29,7502,510221,17.11,Business,48,4/27/2024,Closed
30,8349,1188982,8.62,Education,12,6/2/2024,Active
31,8675,1592581,10.57,Auto,60,10/15/2024,Closed
32,5593,764006,7.61,Business,36,5/31/2024,Closed
33,13535,575252,12.82,Education,24,2/22/2022,Active
34,16117,320627,18.36,Auto,48,7/27/2023,Active
35,5517,1969428,16.92,Business,36,8/26/2022,Active
36,14593,1607747,18.83,Personal,48,4/21/2025,Active
37,12958,988743,6.87,Mortgage,48,2/1/2023,Defaulted
38,12903,1966299,12.19,Business,60,9/20/2023,Active
39,14822,699737,16.6,Personal,60,9/14/2025,Closed
40,12321,219389,17.1,Education,48,8/20/2024,Active
41,6855,1220140,17.12,Auto,36,2/18/2025,Defaulted
42,3535,1036151,21.33,Education,60,4/26/2025,Closed
43,126,473998,20.24,Business,36,12/13/2024,Active
44,15310,1164481,19.86,Auto,12,7/12/2023,Active
45,12103,600401,7.57,Education,48,11/30/2024,Active
46,15427,1068312,17.83,Education,24,2/8/2022,Defaulted
47,179,354558,14.36,Auto,24,8/30/2025,Closed
48,14333,932994,9.94,Auto,6,1/29/2023,Closed
49,15586,1927296,6.78,Mortgage,48,5/21/2023,Active
50,5941,1476557,17.36,Auto,36,7/28/2022,Active
51,8345,199967,17.39,Auto,6,2/4/2022,Active
52,1828,1606796,18.52,Personal,48,9/9/2023,Active
53,15219,1652329,13.56,Education,36,12/1/2024,Active
54,17130,703896,16.58,Mortgage,36,2/12/2023,Closed
55,3376,1403363,14.85,Mortgage,36,2/3/2024,Defaulted
56,17405,851333,7.56,Education,24,5/15/2025,Closed
57,9557,1632748,10.57,Education,60,7/22/2024,Closed
58,10428,1080290,14.38,Mortgage,36,4/17/2022,Active
59,5303,1499246,9.96,Auto,36,7/21/2025,Active
60,8722,1892874,15.99,Business,12,6/6/2023,Defaulted
61,2318,411174,8.01,Mortgage,24,3/17/2022,Active
62,12353,467649,19.12,Education,12,1/5/2025,Active
63,10512,70833,6.72,Education,60,11/24/2022,Active
64,5310,450478,16.65,Business,60,11/25/2024,Closed
65,16939,1684695,13.57,Personal,60,3/1/2025,Active
66,4158,1532709,9.57,Auto,36,2/5/2022,Active
67,13157,1513152,8.44,Business,6,12/9/2024,Closed
68,12560,547718,13.61,Personal,36,8/6/2023,Active
69,5410,1353376,14.34,Auto,60,2/13/2024,Active
70,15213,1886435,21.3,Mortgage,36,2/1/2023,Active
71,16107,521346,7.46,Business,6,8/9/2024,Active
72,11679,1261313,7.02,Education,60,10/7/2022,Active
73,5890,1998795,8.24,Mortgage,60,12/31/2021,Closed
74,6955,1078669,10.36,Mortgage,48,2/20/2022,Closed
75,838,1793541,14.11,Personal,48,5/2/2022,Active
76,15156,1184046,19.88,Personal,24,9/23/2024,Active
77,5652,980464,10.69,Personal,12,5/16/2025,Closed
78,477,576421,19.85,Personal,48,4/18/2025,Active
79,13594,1017839,13.78,Personal,6,11/8/2023,Active
80,7111,1308623,5.36,Business,48,6/4/2025,Active
81,2406,24129,11.24,Business,36,2/11/2023,Closed
82,4840,484625,8.95,Personal,24,7/4/2025,Closed
83,12630,749254,10.53,Personal,12,9/4/2024,Active
84,1990,898949,15.28,Education,48,12/11/2023,Closed
85,7589,1831112,18.64,Mortgage,6,12/17/2022,Active
86,11360,269916,5.78,Business,60,6/5/2023,Closed
87,1627,1240810,19.35,Auto,6,1/25/2024,Active
88,795,1399160,10.24,Business,48,6/15/2024,Defaulted
89,9168,1131012,8.74,Personal,36,7/25/2022,Closed
90,15816,200393,7.77,Education,6,4/23/2025,Active
91,14057,169495,21.52,Personal,24,12/20/2021,Active
92,4576,1518663,21.76,Auto,12,1/18/2023,Closed
93,453,992334,9.92,Education,48,12/14/2022,Active
94,1263,1055391,6.53,Personal,36,11/3/2024,Active
95,10827,176425,12.62,Mortgage,60,11/19/2022,Defaulted
96,6276,80342,20.16,Business,24,5/6/2023,Closed
97,11595,1893207,8.01,Education,12,2/22/2022,Active
98,17754,1936391,12.23,Auto,12,3/13/2024,Active
99,15422,1865800,11.44,Auto,12,2/18/2023,Active
100,12310,1041026,14.03,Personal,12,3/22/2025,Active
101,13807,804390,15.22,Business,36,5/30/2022,
102,11763,354913,10.84,Mortgage,36,3/27/2022,Active
103,1137,1835511,21.15,Personal,36,3/9/2025,Closed
104,984,861373,15.11,Mortgage,12,12/21/2022,Active
105,4389,487448,14.84,Auto,6,1/6/2022,Active
106,8276,85724,17.71,Business,36,12/20/2022,Active
107,15425,439348,12.67,Business,48,11/22/2022,Active
108,9459,79901,11.88,Mortgage,48,11/16/2022,Closed
109,14569,206701,16.74,Business,24,4/15/2022,Active
110,6981,36419,17.75,Education,48,6/10/2023,Active
111,17705,217499,5.57,Business,36,12/16/2022,Active
112,13276,1141845,16.69,Personal,6,6/8/2022,Active
113,5284,1985895,14.65,Auto,6,7/26/2024,Active
114,4727,1545542,6.72,Business,36,9/29/2023,Active
115,12453,711987,6.54,Auto,36,11/27/2023,Active
116,3772,409142,18.53,Auto,60,5/5/2025,Closed
117,2241,941071,6.23,Personal,24,1/7/2024,Active
118,7646,1169783,9.12,Mortgage,36,7/16/2022,Closed
119,17112,881862,19.22,Business,6,2/27/2025,Active
120,844,252319,10.93,Business,6,7/13/2024,Defaulted
121,5656,22913,5.5,Business,24,6/1/2023,Closed
122,4637,885825,20.91,Education,48,9/29/2022,Closed
123,6380,1838387,11.93,Mortgage,24,12/23/2022,Active
124,5494,1009213,13,Personal,12,3/17/2025,Active
125,13349,1508754,14.99,Business,6,5/18/2023,Closed
126,10728,1661280,19.95,Personal,24,4/20/2023,Closed
127,7718,1773338,7.52,Auto,36,2/27/2022,Closed
128,2137,526902,9.2,Business,12,8/24/2024,Active
129,16872,397817,18.56,Personal,60,12/8/2023,Closed
130,17325,1616609,17.76,Business,60,4/21/2022,Active
131,6202,1213055,16.31,Mortgage,36,11/20/2024,Closed
132,1857,814918,19.57,Mortgage,12,11/18/2024,Active
133,14647,1074155,17.8,Personal,48,6/28/2024,Active
134,5358,1897048,15.16,Personal,60,10/11/2024,Active
135,9613,249444,19.34,Personal,24,1/14/2023,Active
